State,Number of CoCs,"Overall Homeless, 2013","Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
AK,2,"1,946",369,189,"1,388","1,137",195,103,839,604,138,70,396,0,0,0,"1,741",333,173,"1,235",205,36,16,153,"1,362",18,150,"1,194",835,10,87,738,373,4,50,319,0,0,0,"1,208",14,137,"1,057",154,4,13,137,584,351,39,194,302,185,16,101,231,134,20,77,533,319,36,178,51,32,3,16,196,105,77,182,14,184,138,0,138,46,166,124,0,124,42,18,14,14,4,210,9,188,8,22,1
AL,8,"4,689",694,506,"3,489","1,555",215,165,"1,175","1,660",350,157,"1,153",31,1,30,"3,246",565,323,"2,358","1,443",129,183,"1,131","3,387",80,368,"2,939","1,051",37,98,916,"1,130",0,130,"1,000",31,1,30,"2,212",37,229,"1,946","1,175",43,139,993,"1,302",614,138,550,504,178,67,259,530,350,27,153,"1,034",528,94,412,268,86,44,138,495,206,169,375,120,858,265,30,295,563,768,219,30,249,519,90,46,46,44,511,25,363,16,148,9
AR,6,"3,812",429,350,"3,033","1,037",275,96,666,627,69,82,476,0,0,0,"1,664",344,178,"1,142","2,148",85,172,"1,891","3,174",54,238,"2,882",651,46,30,575,526,8,65,453,0,0,0,"1,177",54,95,"1,028","1,997",0,143,"1,854",638,375,112,151,386,229,66,91,101,61,17,23,487,290,83,114,151,85,29,37,218,125,37,162,56,602,171,0,171,431,565,142,0,142,423,37,29,29,8,462,11,326,9,136,2
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"10,562","2,598",942,"7,022","3,893",945,298,"2,650","3,500","1,519",370,"1,611",38,1,37,"7,431","2,464",669,"4,298","3,131",134,273,"2,724","6,510",49,640,"5,821","2,458",23,206,"2,229","1,166",18,187,961,38,1,37,"3,662",41,394,"3,227","2,848",8,246,"2,594","4,052","2,549",302,"1,201","1,435",922,92,421,"2,334","1,501",183,650,"3,769","2,423",275,"1,071",283,126,27,130,"1,291",426,784,"1,210",81,"1,188",482,38,520,668,"1,064",412,38,450,614,124,70,70,54,"1,222",75,901,58,321,17
CA,40,"118,552","16,097","14,366","88,089","21,928","4,561","1,577","15,790","23,432","6,993","3,017","13,422",194,2,192,"45,554","11,554","4,596","29,404","72,998","4,543","9,770","58,685","93,458","2,144","12,297","79,017","14,520",224,"1,005","13,291","11,712",252,"1,913","9,547",194,2,192,"26,426",476,"2,920","23,030","67,032","1,668","9,377","55,987","25,094","13,953","2,069","9,072","7,408","4,337",572,"2,499","11,720","6,741","1,104","3,875","19,128","11,078","1,676","6,374","5,966","2,875",393,"2,698","8,267","2,395","3,863","6,258","2,009","33,112","5,172",79,"5,251","27,861","29,248","4,098",79,"4,177","25,071","3,864","1,074","1,074","2,790","12,895",814,"4,886",354,"8,009",460
CO,3,"9,754","2,710","1,066","5,978","4,025",785,419,"2,821","3,543","1,685",440,"1,418",23,0,23,"7,591","2,470",859,"4,262","2,163",240,207,"1,716","4,664",33,478,"4,153","2,335",18,191,"2,126",717,6,131,580,23,0,23,"3,075",24,322,"2,729","1,589",9,156,"1,424","5,090","2,677",588,"1,825","1,690",767,228,695,"2,826","1,679",309,838,"4,516","2,446",537,"1,533",574,231,51,292,"1,444",440,844,"1,284",160,"1,780",823,23,846,934,"1,354",642,23,665,689,426,181,181,245,685,59,452,44,233,15
CT,6,"4,448",813,342,"3,293","2,390",466,200,"1,724","1,139",291,84,764,0,0,0,"3,529",757,284,"2,488",919,56,58,805,"3,101",12,225,"2,864","1,632",12,140,"1,480",643,0,32,611,0,0,0,"2,275",12,172,"2,091",826,0,53,773,"1,347",801,117,429,758,454,60,244,496,291,52,153,"1,254",745,112,397,93,56,5,32,475,263,175,438,37,"1,046",678,0,678,368,872,542,0,542,330,174,136,136,38,341,25,267,24,74,1
DC,1,"6,865","1,874",604,"4,387","4,010",918,310,"2,782","2,343",956,276,"1,111",0,0,0,"6,353","1,874",586,"3,893",512,0,18,494,"3,696",6,158,"3,532","2,459",6,84,"2,369",725,0,56,669,0,0,0,"3,184",6,140,"3,038",512,0,18,494,"3,169","1,868",446,855,"1,551",912,226,413,"1,618",956,220,442,"3,169","1,868",446,855,0,0,0,0,983,464,519,983,0,"2,027","1,566",0,"1,566",461,"1,764","1,303",0,"1,303",461,263,263,263,0,499,45,435,41,64,4
DE,1,946,240,61,645,516,108,26,382,410,132,35,243,10,0,10,936,240,61,635,10,0,0,10,575,1,34,540,353,0,15,338,202,1,19,182,10,0,10,565,1,34,530,10,0,0,10,371,239,27,105,163,108,11,44,208,131,16,61,371,239,27,105,0,0,0,0,119,53,66,119,0,71,61,7,68,3,65,55,7,62,3,6,6,6,0,89,2,86,2,3,0
FL,28,"47,862","10,872","4,115","32,875","8,755","1,996",801,"5,958","10,729","2,824",870,"7,035",186,2,184,"19,670","4,820","1,673","13,177","28,192","6,052","2,442","19,698","31,359","1,542","2,344","27,473","5,853",247,493,"5,113","6,291",187,530,"5,574",186,2,184,"12,330",434,"1,025","10,871","19,029","1,108","1,319","16,602","16,503","9,330","1,771","5,402","2,902","1,749",308,845,"4,438","2,637",340,"1,461","7,340","4,386",648,"2,306","9,163","4,944","1,123","3,096","5,806",959,"1,461","2,420","3,386","9,647","1,720",153,"1,873","7,774","7,778","1,455",153,"1,608","6,170","1,869",265,265,"1,604","5,505",536,"2,328",174,"3,177",362
GA,9,"16,971","2,633","1,401","12,937","4,824",923,512,"3,389","3,686","1,164",244,"2,278",0,0,0,"8,510","2,087",756,"5,667","8,461",546,645,"7,270","12,880",75,"1,041","11,764","3,381",12,360,"3,009","1,869",3,120,"1,746",0,0,0,"5,250",15,480,"4,755","7,630",60,561,"7,009","4,091","2,558",360,"1,173","1,443",911,152,380,"1,817","1,161",124,532,"3,260","2,072",276,912,831,486,84,261,"1,257",491,499,990,267,"3,082",936,0,936,"2,146","2,713",842,0,842,"1,871",369,94,94,275,"1,805",157,900,73,905,84
GU,1,"1,271",515,147,609,60,27,2,31,68,21,8,39,0,0,0,128,48,10,70,"1,143",467,137,539,296,0,35,261,11,0,0,11,24,0,4,20,0,0,0,35,0,4,31,261,0,31,230,975,515,112,348,49,27,2,20,44,21,4,19,93,48,6,39,882,467,106,309,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,4,2,1,30,3
HI,2,"6,335","1,691",437,"4,207","1,226",372,85,769,"2,494","1,103",185,"1,206",25,1,24,"3,745","1,475",271,"1,999","2,590",216,166,"2,208","3,355",7,202,"3,146",596,3,26,567,521,0,32,489,25,1,24,"1,142",3,59,"1,080","2,213",4,143,"2,066","2,980","1,684",235,"1,061",630,369,59,202,"1,973","1,103",153,717,"2,603","1,472",212,919,377,212,23,142,736,173,470,643,93,"1,180",252,21,273,907,"1,031",191,21,212,819,149,61,61,88,558,43,234,20,324,23
IA,3,"3,084","1,016",328,"1,740","1,203",271,130,802,"1,747",744,187,816,0,0,0,"2,950","1,015",317,"1,618",134,1,11,122,"1,524",10,188,"1,326",782,0,97,685,610,10,81,519,0,0,0,"1,392",10,178,"1,204",132,0,10,122,"1,560","1,006",140,414,421,271,33,117,"1,137",734,106,297,"1,558","1,005",139,414,2,1,1,0,495,140,354,494,1,327,258,0,258,69,277,208,0,208,69,50,50,50,0,229,10,220,10,9,0
ID,2,"1,781",450,162,"1,169",745,170,70,505,659,234,51,374,0,0,0,"1,404",404,121,879,377,46,41,290,"1,084",20,118,946,490,13,51,426,285,0,33,252,0,0,0,775,13,84,678,309,7,34,268,697,430,44,223,255,157,19,79,374,234,18,122,629,391,37,201,68,39,7,22,211,73,119,192,19,271,165,0,165,106,193,105,0,105,88,78,60,60,18,208,24,162,17,46,7
IL,20,"13,425","3,506","1,452","8,467","5,160",772,533,"3,855","5,980","2,517",676,"2,787",89,15,74,"11,229","3,289","1,224","6,716","2,196",217,228,"1,751","7,958",135,936,"6,887","3,934",33,426,"3,475","2,081",62,303,"1,716",89,15,74,"6,104",95,744,"5,265","1,854",40,192,"1,622","5,467","3,371",516,"1,580","1,226",739,107,380,"3,899","2,455",373,"1,071","5,125","3,194",480,"1,451",342,177,36,129,"1,730",405,"1,224","1,629",101,"1,574",939,41,980,594,"1,403",849,41,890,513,171,90,90,81,"1,267",114,882,67,385,47
IN,3,"6,096","1,543",449,"4,104","3,087",703,203,"2,181","2,285",767,178,"1,340",24,0,24,"5,396","1,470",381,"3,545",700,73,68,559,"3,751",36,287,"3,428","2,021",24,129,"1,868","1,122",9,99,"1,014",24,0,24,"3,167",33,228,"2,906",584,3,59,522,"2,345","1,507",162,676,"1,066",679,74,313,"1,163",758,79,326,"2,229","1,437",153,639,116,70,9,37,739,328,377,705,34,580,385,24,409,171,511,319,24,343,168,69,66,66,3,743,46,666,45,77,1
KS,5,"2,693",739,197,"1,757","1,329",322,95,912,"1,044",374,78,592,9,1,8,"2,382",696,174,"1,512",311,43,23,245,"1,480",6,99,"1,375",787,0,56,731,442,6,25,411,9,1,8,"1,238",6,82,"1,150",242,0,17,225,"1,213",733,98,382,542,322,39,181,602,368,53,181,"1,144",690,92,362,69,43,6,20,387,169,196,365,22,356,244,5,249,107,304,199,5,204,100,52,45,45,7,414,28,384,25,30,3
KY,3,"5,245","1,202",524,"3,519","2,439",513,222,"1,704","2,042",599,204,"1,239",10,1,9,"4,491","1,112",427,"2,952",754,90,97,567,"3,302",31,353,"2,918","1,661",26,168,"1,467","1,062",1,109,952,10,1,9,"2,733",27,278,"2,428",569,4,75,490,"1,943","1,171",171,601,778,487,54,237,980,598,95,287,"1,758","1,085",149,524,185,86,22,77,672,255,359,614,58,541,266,2,268,273,394,217,2,219,175,147,49,49,98,607,35,510,28,97,7
LA,9,"5,226",941,534,"3,751","1,389",227,134,"1,028","2,228",675,290,"1,263",34,3,31,"3,651",902,427,"2,322","1,575",39,107,"1,429","3,908",65,428,"3,415","1,098",36,115,947,"1,269",28,206,"1,035",34,3,31,"2,401",64,324,"2,013","1,507",1,104,"1,402","1,318",876,106,336,291,191,19,81,959,647,84,228,"1,250",838,103,309,68,38,3,27,415,96,297,393,22,"1,115",236,9,245,870,"1,015",218,9,227,788,100,18,18,82,575,41,383,31,192,10
MA,18,"19,029","7,259","1,953","9,817","13,962","6,202","1,495","6,265","4,158","1,028",380,"2,750",59,2,57,"18,179","7,230","1,877","9,072",850,29,76,745,"6,694",66,476,"6,152","3,362",32,250,"3,080","2,462",29,149,"2,284",59,2,57,"5,883",61,401,"5,421",811,5,75,731,"12,335","7,193","1,477","3,665","10,600","6,170","1,245","3,185","1,696",999,231,466,"12,296","7,169","1,476","3,651",39,24,1,14,"4,327","3,653",661,"4,314",13,"2,115","1,697",18,"1,715",400,"1,577","1,162",18,"1,180",397,538,535,535,3,"1,253",81,"1,204",81,49,0
MD,16,"8,205","1,863",596,"5,746","3,713",849,264,"2,600","2,471",753,158,"1,560",99,2,97,"6,283","1,602",424,"4,257","1,922",261,172,"1,489","5,221",28,362,"4,831","2,338",6,146,"2,186","1,280",3,67,"1,210",99,2,97,"3,717",9,215,"3,493","1,504",19,147,"1,338","2,984","1,835",234,915,"1,375",843,118,414,"1,191",750,91,350,"2,566","1,593",209,764,418,242,25,151,997,467,405,872,125,"1,480",793,69,862,618,"1,249",656,69,725,524,231,137,137,94,673,34,563,26,110,8
ME,2,"3,016",910,349,"1,757","1,090",211,135,744,"1,851",689,201,961,13,1,12,"2,954",900,337,"1,717",62,10,12,40,"1,563",63,248,"1,252",788,33,111,644,717,28,127,562,13,1,12,"1,518",61,239,"1,218",45,2,9,34,"1,453",847,101,505,302,178,24,100,"1,134",661,74,399,"1,436",839,98,499,17,8,3,6,494,105,382,487,7,176,170,6,176,0,159,153,6,159,0,17,17,17,0,164,11,150,11,14,0
MI,21,"11,527","2,861","1,295","7,371","4,927","1,046",493,"3,388","4,368","1,515",520,"2,333",44,0,44,"9,339","2,561","1,013","5,765","2,188",300,282,"1,606","7,236",232,891,"6,113","3,369",87,361,"2,921","2,106",77,301,"1,728",44,0,44,"5,519",164,662,"4,693","1,717",68,229,"1,420","4,291","2,629",404,"1,258","1,558",959,132,467,"2,262","1,438",219,605,"3,820","2,397",351,"1,072",471,232,53,186,"1,412",503,738,"1,241",171,"1,106",646,20,666,440,969,558,20,578,391,137,88,88,49,"1,100",61,945,54,155,7
MN,10,"8,214","2,990",984,"4,240","4,158","1,470",345,"2,343","3,131","1,367",486,"1,278",10,0,10,"7,299","2,837",831,"3,631",915,153,153,609,"3,728",115,651,"2,962","2,037",43,244,"1,750",976,30,264,682,10,0,10,"3,023",73,508,"2,442",705,42,143,520,"4,486","2,875",333,"1,278","2,121","1,427",101,593,"2,155","1,337",222,596,"4,276","2,764",323,"1,189",210,111,10,89,"1,338",586,687,"1,273",65,"1,350",991,10,"1,001",349,915,612,10,622,293,435,379,379,56,349,19,286,15,63,4
MO,8,"8,581","2,462",864,"5,255","3,381",999,299,"2,083","3,069","1,043",369,"1,657",51,1,50,"6,501","2,042",669,"3,790","2,080",420,195,"1,465","4,652",117,540,"3,995","1,835",66,172,"1,597","1,479",43,258,"1,178",51,1,50,"3,365",109,431,"2,825","1,287",8,109,"1,170","3,929","2,345",324,"1,260","1,546",933,127,486,"1,590","1,000",111,479,"3,136","1,933",238,965,793,412,86,295,"1,259",496,518,"1,014",245,"1,037",559,42,601,436,695,352,42,394,301,342,207,207,135,843,46,667,31,176,15
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"2,403",428,329,"1,646",501,153,60,288,582,177,87,318,0,0,0,"1,083",330,147,606,"1,320",98,182,"1,040","1,753",107,227,"1,419",323,43,44,236,325,45,32,248,0,0,0,648,88,76,484,"1,105",19,151,935,650,321,102,227,178,110,16,52,257,132,55,70,435,242,71,122,215,79,31,105,192,43,91,134,58,475,68,0,68,407,408,61,0,61,347,67,7,7,60,210,11,129,4,81,7
MT,1,"1,878",385,213,"1,280",706,164,55,487,388,139,41,208,0,0,0,"1,094",303,96,695,784,82,117,585,"1,211",6,163,"1,042",410,0,34,376,164,4,21,139,0,0,0,574,4,55,515,637,2,108,527,667,379,50,238,296,164,21,111,224,135,20,69,520,299,41,180,147,80,9,58,207,89,76,165,42,227,65,0,65,162,210,55,0,55,155,17,10,10,7,309,11,118,5,191,6
